--- Sheet: Summary  ---
,CONVERSIONS FOR PREPARING SCHEDULE OF MATERIALS,,,,,,,,
,,,kg," 11,340.00 ",kgs,,,
21,10mm Expansion joint.,,,,3 ply bituminous felt sheeting,,,
,,m2,1,,,m2,70,
,,,sheets, 0.35 ,no.,, sheets , 72.92 
22,Thioflex sealant.,m,52,,,,,
,,,tubes, 8.67 ,no.,,,
23,Woodfloat plaster,m2,435.12,,,,,
,,,pit sand, 10.05 ,m3,,,
,,,cement, 96.49 ,Bag,,,
,,,undercoat, 33.11 ,ltr,,,
,,,Ext  PVA, 99.32 ,,,,

--- Sheet: Superstructure ---
,CONVERSIONS FOR PREPARING SCHEDULE OF MATERIALS,,,,,,,
,SUPERSTRUCTURE,,,,,,,
1,Grade 10-20,m3,1,,,,,
,,,sand,0.7875,m3,,,
,,,cement,4.4625,bag,,,
,,,stone,0.8505,m3,,,
2,Grade 20-20,m3,0,,,,,
,,,sand,0,m3,,,
,,,cement,0,bag,,,
,,,stone,0,m3,,,
3,Grade 25-20,m3,0,,,,,
,,,sand,0,m3,,,
,,,cement,0,bag,,,
,,,stone,0,m3,,,
4,Grade 30-20,m3,0,,,,,
,,,sand,0,m3,,,
,,,cement,0,bag,,,
,,,stone,0,m3,,,
5,Grade 30-40,m3,253,,,,,
,,,sand,180.642,m3,,,
,,,cement,1647.03,bag,,,
,,,stone,228.459,m3,,,
6,Grade 40-20,m3,0,,,,,
,,,sand,0,m3,,,
,,,cement,0,bag,,,
,,,stone,0,m3,,,
7,Screeds,m2,378.45,,,,,
,,,river sand,17.48439,m3,,,
,,,cement,167.850144,bag,,,
8,Half brick wall,m2,460,,Face brick wall,m2,35,
,,,commons,25116,no.,,facings,1947.75
,,,pit sand,11.3988,m3,,pit sand,0.8673
,,,cement,77.28,bag,,cement,4.781175
9,One brick wall,m2,86.9,,,,,
,,,commons,10036.95,no.,,,
,,,pit sand,5.4655755,m3,,,
,,,cement,30.2294685,bag,,,
10,Piers,m3,21.42,,,,,
,,,commons,10300.878,no.,,,
,,,pit sand,6.9114843,m3,,,
,,,cement,38.2144581,bag,,,
11,Brick-on-edge,m2,0,,,,,
,,,bricks,0,no.,,,
,,,pit sand,0,m3,,,
,,,cement,0,bag,,,
12,150 mm Block wall,m2,0,,,,,
,,,blocks,0,no.,,,
,,,pit sand,0,m3,,,
,,,cement,0,bag,,,
13,Damp proof course for half brick wall,m,0,,,,,
,,,roll,0,no.,,,
14,Damp proof course for one brick wall,m,0,,,,,
,,,roll,0,no.,,,
15,Ref C1 for half brick wall,m,1770,,,,,
,,,roll,88.5,no.,,,
16,Ref C2 for one brick wall,m,5607,,,,,
,,,roll,280.35,no.,,,
17,Mesh fabric reinforcement Ref S311,m2,0,,,,,
,,,sheets,0,no.,,,
18,Steel bar reinforcement,m3,0,,,,,
,,,kg,0,kgs,,,

--- Sheet: finishies  ---
,CONVERSIONS FOR PREPARING SCHEDULE OF MATERIALS,,,,,
,,,,,;,
,FINISHIES,,,,,
1,Render and set to walls,m2,100,,,
