--- Sheet: OUTPUT ---
,,,ESTIMATING DATA,,,,,
,,,GROUND WORKS,,,,,
A. SITE CLEARANCE,,,,,,,,
"1,Clear site of all vegetation",,,,,1 Lab,,20m2/day,
B. EXCAVATIONS,,,,,,,,
"1, Normal pickable ground",,,,,,,,
a) Trenches etc not exceeding 1m deep,,,,,1 Lab,,2m3/day,
    Ditto 1-2m deep,,,,,1 Lab,,1.5m3/day,
    Ditto 2-3m deep,,,,,1 Lab,,1m3/day,
b) Bases etc not exceeding 1m deep,,,,,1 Lab,,1.75m3/day,
    Ditto 1-2m deep,,,,,1 Lab,,1.20m3/day,
    Ditto 2-3m deep,,,,,1 Lab,,0.75m3/day,
c) Reduce levels n.e. 1m deep,,,,,1 Lab,,2.20m3/day,
"2, Hard pickable ground",,,,,,,,
"    As above, but +250%",,,,,1 Lab,, 0.40 ,
"3, Rock excavation",,,,,,,,
"    As above, but +1200%",,,,,1 Lab,,,
C. DISPOSALS,,,,,,,,
    ,,,,,,,,
a)  Backfilling to trenches and bases,,,,,1 Lab,,2.5m3/day,
b) Loose fill under floor,,,,,1 Lab,,3.0m3/day,
c) Ram fill under floors ,,,,,1 Lab,,2.0m3/day,
d) Compacting,,,,,1 Lab,,35m2/day,
e) Load for disposal,,,,,1 Lab,,1.5m3/day,
,,,BRICKWORK AND BLOCKWORK,,,,,
 NB,,,,,,,,
Adjustments must be made for high standard requirements,,,,,,,,
,8mm,,0.395,,0.502,,0.395,
,10mm,,0.616,,0.784,,0.616,
,12mm,,0.887,,1.129,,0.888,
,14mm,,1.207,,1.537,,1.21,
,16mm,,1.577,,2.008,,1.579,
,20mm,,2.464,,3.137,,2.466,
,22mm,,2.981,,3.796,,0,
,25mm,,3.85,,4.902,,3.854,
,30mm,,5.544,,7.059,,0,
,32mm,,0,,0,,6.313,
,35mm,,0,,9.608,,0,
,40mm,,0,,0,,9.869,
,,,KGs PER RUNNING METRE,,,,,
,1.BASES,,,,,,90kg/m3,
,2.COLUMNS,,,,,,170kg/m3,
,3.WALLS,,,,,,100kg/m3,
,4.SLABS,,,,,,120kg/m3,
,5.BEAMS,,,,,,150kg/m3,
,FABRIC REINFORCEMENT,,,,,,,
,Ref No S245,,,,,,2.45kg/m2,
,Ref No S193,,,,,,1.93kg/m2,
,Ref No S125,,,,,,1.25kg/m2,
,Hoop irons 24 ggr = 0.6mm = 6.20 kg/m3,,,,,,,
,,,ESTIMATING DATA,,,,,
,,,BLOCK PRODUCTION DATA,,,,,
1 Sack cement = 0.034m3,,,,,,,,
1 Barrow = 0.057m3 ( 2 cu ft ),,,,,,,,
Block Volumes,,,,,,,,
( A ) 450 x 220 x 168 hollow      =,,,,0.00666m3/block              =             15kg,,,,
( B ) 450 x 220 x 103 solid        =                 0.01070m3/block               =             30kg,,,,,,,,
( C ) 450 x 220 x 216 hollow      =                 0.00879m3/block               =             27kg,,,,,,,, 113.77 
Theoretical Mixes,,,,Mix 1:6,Mix 1:8,Mix 1:10,Mix 1: 12,
Cement,,,,0.034m3,0.034m3,0.034m3,0.034m3,
Aggregate,,,,0.204m3,0.272m3,0.340m3,0.408m3,
Practical Equivalents,,,,,,,,
Cement,,,,1 sack,1 sack,1 sack,1 sack, 5.44 
Aggregate,,,,3.5barrws,4.5barrws,6 barrows,7 barrows, 1.06 
Dry Volume,,,,0.234,0.291,0.376,0.433,
Waste 5%,,,,0.012,0.015,0.019,0.022,
,,,,0.222,0.276,0.357,0.411,
Mixed Volume,,,,0.155m3,0.193m3,0.250m3,0.288m3, 5.18 
Total cost of Blocks (materils only),,,,2870,,,,
Labour,for 2870 units,,,,,,,
SW,,,,8,12,1, 2.50 , 240.00 
WG1,,,,8,12,6, 1.59 , 915.84 
Plant ,,,,,,,,
Concrete Mixer,,,,4.33,0.5,, 200.00 , 433.00 
Subtotal,,,,,,,,
Maintanance,,,,,,5%,,
Total Cost all in for production of 2870 blocks ,,,,,,,,
Cost per Block,,,,,,,,
